order_id;comments;total_orders;overall_rating;effectiveness;product_longevity;sport_type;date_created;sku
F-02-6103;Funktioniert einfach!!! Keine Schmerzen nach dem Training mehr. Auch kleinere Verstauchungen damit bearbeitet. Beste Ergebnisse! Dünnes auftragen. Wenig hilft viel.;2;5;5;5;Running;2024-10-08 07:43:00;02-1113-2
F-02-6029;"Feelslike vor und nach dem Berlin-Marathon angewendet. Muskelkater hatte ich trotzdem	 aber vielleicht nicht so sehr wie ohne.
Kann ich schlecht einschätzen.	
Die bisherigen Marathonläufe waren einfacher und ohne Muskelbeschwerden am nächsten Tag""	";1;4;3;4;Running;2024-10-07 15:25:00;02-1113-2
F-02-6061;Bestes Sportgel. Vor und nach meinem BMW Berlin Marathon aufgetragene und ich kann sagen, dass ich keinen Muskelkater oder andere schmerzen hatte. Der Preis schreckt wirklich ab, aber die Wirksamkeit und Ergiebigkeit sprechen für sich.;3;5;5;5;Running;2024-10-07 09:17:00;02-1149
F-02-6052;Das Produkt wurde nach Trainingsläufen für einen HM genutzt. Es sind bei mir keine nennenswerten Muskelprobleme (z. B. Muskelkater) aufgetreten. Daher würde ich das Produkt weiterempfehlen.;3;5;5;3;Running;2024-10-07 09:17:00;02-1113-2
F-02-6063;Ich war ehrlich gesagt nur neugierig, ob die vielen positiven Bemerkungen bei @dieSchweinehunde wirklich wahr sind. Ich kann nur berichten, dass ich sowohl nach beiden +4Stunden-Vorbereitungslufen als auch nach dem Berlin Marathon den Muscle Complex verwendet habe und eine sofortige Wirkung bemerkt habe. Die Beine fhlten sich trotz der Belastung gut an. Mich freut besonders, dass es keine besondere Temperatur (mag weder zu warm noch zu kalt) entwickelt. Ich habe wirklich nicht gedacht, dass es mir so leichte Beine nach einer großen Belastung bringt. Danke!!;3;5;5;4;Running;2024-10-07 07:31:00;02-1113-2
F-02-5686;Nach zwei Tagen habe ich bereits eine Verbesserung meines Schienbein Kantensyndroms und meiner Plantarfasziitis gemerkt. Echt super, dazu reicht wirklich wenig um meinen ganzen Unterschenkel einzucremen. Echt top!;2;5;5;5;Running;2024-10-03 17:52:00;02-1113-2
F-02-4268;;5;5;4;4;Hyrox;2024-10-02 18:32:00;02-1113-2
F-02-5887;;4;5;5;5;Running;2024-09-28 14:47:00;02-1113-2
F-02-5937;Bei täglichem anstrengenden Training ein echter Game-Changer. Man hat direkt das Gefühl von Regeneration in den betroffenen Partien. Am nächsten Tag bestätigt sich dieses weiterhin und die Muskulatur ist merklich entspannt. ;3;5;5;5;Ju-Jutsu;2024-09-28 07:07:00;02-1149
F-02-5902;Wirkung ist erstaunlich ! Nach jedem Lauf ein muss!;1;5;;5;Running;2024-09-26 14:45:00;02-1045-1
F-02-5825;"Mein Sohn benutz es für sein Training und Wettkämpfe . Er kann dadurch mehr trainieren und die Beine sind schnell wieder fit . Er möchte es nicht mehr Missen. Zu Zeit ist es sein bester Begleiter bei der Vorbereitung zum Köln Halbmarathon.Zum Foto er bei der Vorbereitung nach dem einreiben """;3;5;5;5;Running;2024-09-25 07:07:00;02-1113-2
F-02-5737;Entspannend und reaktivierend. ;3;4;4;4;Running;2024-09-24 19:50:00;02-1113-2
F-02-5773;;2;5;5;4;;2024-09-24 19:36:00;02-1045-1
F-02-5730;Hilft wirklich gut zur Linderung muskulärer Beschwerden. Sowohl vor als auch nach dem Sport zu empfehlen. ;7;5;5;5;Running;2024-09-24 18:06:00;02-1149
